2007 to 2014 |  -5 | -110 | | -0.36 | 0.78 |0.83|| -4.14 |6.56 |0.82 
2007 to 2014 |  -2 |  -95 | | -0.35 | 1.79 |0.32|| -4.07 |29.92 |0.28 
2007 to 2014 |   2 |  -95 | | -0.42 | 1.97 |0.33|| -4.56 |37.66 |-0.12 
2007 to 2014 |   0 |  -95 | | -0.53 | 3.13 |-0.10|| 2.87 |35.73 |-0.02 
2007 to 2014 |  -5 | -170 | | -0.32 | 0.72 |0.91|| 4.75 |7.90 |0.92 
2007 to 2014 |  -8 | -110 | | -0.15 | 0.72 |0.89|| -2.50 |7.32 |0.83 
2007 to 2014 |  -5 | -155 | | -0.41 | 2.78 |-0.09|| -7.31 |39.08 |0.04 
2007 to 2014 |  -8 | -170 | | -0.04 | 3.20 |-0.01|| 1.55 |62.12 |-0.07 
2007 to 2014 |  -8 |  -95 | | 0.03 | 2.43 |-0.01|| -1.20 |19.48 |0.10 
2007 to 2014 |  -8 | -125 | | -0.09 | 2.22 |0.00|| -2.08 |23.32 |-0.06 
2007 to 2014 |  -2 | -170 | | -0.01 | 2.72 |-0.02|| -1.90 |37.24 |-0.01 
2007 to 2014 |  -5 |  -95 | | -0.33 | 1.95 |0.30|| -1.10 |23.92 |0.26 
2007 to 2014 |  -5 | -125 | | -0.35 | 2.19 |-0.05|| 0.06 |27.59 |-0.12 
2007 to 2014 |   2 | -125 | | 0.61 | 2.47 |0.14|| 10.53 |45.69 |-0.30 
2007 to 2014 |  -8 |  165 | | -0.18 | 3.83 |-0.03|| -3.58 |85.02 |0.09 
2007 to 2014 |  -2 | -110 | | -0.23 | 0.80 |0.91|| -4.08 |11.56 |0.88 
2007 to 2014 |   0 | -140 | | -1.31 | 2.58 |0.62|| -6.17 |12.86 |0.79 
2007 to 2014 |  -8 | -155 | | 0.14 | 2.90 |-0.04|| -5.31 |43.52 |0.03 
2007 to 2014 |  -5 | -140 | | -0.33 | 2.22 |0.08|| -2.53 |25.97 |0.05 
2007 to 2014 |  -5 |  165 | | -0.25 | 1.02 |0.90|| -3.16 |38.83 |0.63 
2007 to 2014 |   5 | -125 | | -0.06 | 1.05 |0.86|| 1.77 |28.16 |0.79 
2007 to 2014 |   0 | -110 | | -1.08 | 0.60 |0.93|| -0.84 |10.03 |0.78 
2007 to 2014 |   0 | -180 | | 0.00 | 2.64 |0.05|| -2.71 |48.03 |-0.04 
2007 to 2014 |  -2 |  165 | | -0.25 | 3.06 |0.02|| 0.63 |67.28 |-0.01 
2007 to 2014 |  -2 | -140 | | -0.21 | 0.69 |0.92|| -1.24 |12.99 |0.75 
2007 to 2014 |   0 |  165 | | -0.40 | 0.92 |0.92|| -4.72 |32.57 |0.66 
2007 to 2014 |  -2 | -125 | | -0.15 | 0.73 |0.92|| -4.30 |14.20 |0.80 
2007 to 2014 |   2 |  165 | | -0.22 | 3.28 |-0.05|| 7.68 |97.10 |-0.06 
2007 to 2014 |   2 | -110 | | -0.49 | 2.61 |0.14|| 5.80 |36.42 |0.02 
2007 to 2014 |   0 | -155 | | -0.07 | 2.44 |-0.02|| 4.57 |40.14 |-0.09 
2007 to 2014 |   0 | -125 | | -0.26 | 1.14 |0.81|| -2.06 |18.01 |0.72 
2007 to 2014 |   2 | -140 | | -0.83 | 0.80 |0.91|| -3.35 |12.78 |0.73 
2007 to 2014 |   0 | -170 | | -0.23 | 2.61 |-0.04|| 1.60 |30.18 |0.00 
2007 to 2014 |   5 | -170 | | 0.06 | 0.97 |0.91|| -1.67 |19.69 |0.65 
2007 to 2014 |  -2 | -155 | | -0.23 | 0.93 |0.89|| -5.15 |16.45 |0.72 
2007 to 2014 |  -2 | -180 | | -0.04 | 2.88 |0.04|| -3.01 |49.93 |-0.06 
2007 to 2014 |   5 | -140 | | -0.10 | 2.79 |-0.02|| 2.25 |59.96 |-0.04 
2007 to 2014 |   2 | -155 | | -2.00 | 3.57 |-0.03|| 0.11 |35.71 |-0.23 
2007 to 2014 |   8 | -110 | | 0.05 | 1.32 |0.84|| 2.34 |49.95 |0.63 
2007 to 2014 |   8 |  -95 | | -0.42 | 0.98 |0.92|| -0.24 |45.46 |0.75 
2007 to 2014 |   5 | -110 | | -0.23 | 2.32 |0.34|| -0.77 |52.05 |0.42 
2007 to 2014 |   2 | -170 | | -0.42 | 2.68 |0.12|| -5.46 |41.34 |-0.05 
2007 to 2014 |   2 | -180 | | -0.51 | 2.76 |-0.05|| -0.13 |34.87 |0.01 
2007 to 2014 |   8 | -170 | | 0.14 | 0.92 |0.94|| 0.19 |23.46 |0.71 
2007 to 2014 |   5 |  165 | | 0.02 | 3.50 |-0.07|| 0.09 |68.95 |0.00 
2007 to 2014 |   5 |  -95 | | -0.13 | 0.93 |0.90|| 3.38 |33.05 |0.68 
2007 to 2014 |   9 | -140 | | 0.16 | 3.85 |-0.09|| 1.99 |72.23 |-0.04 
2007 to 2014 |   8 | -180 | | 0.10 | 1.00 |0.92|| 0.67 |26.71 |0.62 
2007 to 2014 |   8 |  165 | | -0.05 | 3.97 |-0.22|| -3.34 |53.50 |-0.04 
