2000 to 2007 |  -2 |  -95 | | 0.10 | 0.95 |0.85| -6.68 |28.22 |0.54 
2000 to 2007 |  -5 |  -95 | | 0.05 | 0.96 |0.85| -3.40 |27.24 |0.58 
2000 to 2007 |  -8 | -125 | | 0.12 | 0.75 |0.90| -0.59 |10.54 |0.81 
2000 to 2007 |  -2 | -110 | | 0.19 | 0.85 |0.88| -4.41 |17.78 |0.62 
2000 to 2007 |  -2 | -170 | | -0.10 | 1.04 |0.88| -0.75 |20.38 |0.71 
2000 to 2007 |  -8 |  -95 | | 0.14 | 0.83 |0.87| -2.84 |15.69 |0.56 
2000 to 2007 |  -5 | -170 | | 0.18 | 1.25 |0.84| -0.86 |30.51 |0.60 
2000 to 2007 |  -5 | -140 | | -0.21 | 0.76 |0.90| -1.78 |13.08 |0.72 
2000 to 2007 |  -8 | -155 | | 0.24 | 1.27 |0.80| 2.68 |23.31 |0.68 
2000 to 2007 |   0 |  -95 | | -0.24 | 0.79 |0.92| -1.46 |27.01 |0.65 
2000 to 2007 |  -5 | -155 | | -0.08 | 0.86 |0.89| 0.76 |15.85 |0.79 
2000 to 2007 |  -8 | -110 | | -0.04 | 0.66 |0.89| -2.52 |7.68 |0.84 
2000 to 2007 |   2 |  -95 | | 0.09 | 1.15 |0.85| -1.03 |36.29 |0.53 
2000 to 2007 |  -5 | -125 | | -0.18 | 0.72 |0.89| 0.04 |12.27 |0.74 
2000 to 2007 |  -5 | -110 | | -0.06 | 0.83 |0.85| -1.42 |13.77 |0.69 
2000 to 2007 |  -8 | -170 | | 0.55 | 1.40 |0.84| -4.12 |38.97 |0.51 
2000 to 2007 |  -8 |  165 | | 0.71 | 1.70 |0.80| -5.16 |51.84 |0.40 
2000 to 2007 |  -5 |  165 | | 0.71 | 1.71 |0.77| -1.11 |52.09 |0.52 
2000 to 2007 |   0 | -125 | | -0.01 | 0.97 |0.84| -3.29 |14.48 |0.70 
2000 to 2007 |   2 | -125 | | -0.35 | 0.82 |0.90| -2.88 |18.58 |0.75 
2000 to 2007 |   0 |  165 | | 0.29 | 1.53 |0.78| -0.83 |46.82 |0.52 
2000 to 2007 |  -2 | -155 | | -0.15 | 0.74 |0.92| -1.62 |11.50 |0.76 
2000 to 2007 |   2 |  165 | | 0.46 | 1.60 |0.81| -0.66 |48.67 |0.46 
2000 to 2007 |  -2 | -125 | | 0.03 | 0.82 |0.88| -1.23 |12.00 |0.84 
2000 to 2007 |   5 | -125 | | 0.46 | 1.35 |0.77| 0.57 |26.38 |0.75 
2000 to 2007 |   0 | -180 | | 0.11 | 1.25 |0.86| 1.33 |36.31 |0.50 
2000 to 2007 |   0 | -170 | | -0.10 | 1.00 |0.89| -3.55 |22.58 |0.68 
2000 to 2007 |  -2 |  165 | | 0.36 | 1.57 |0.78| 0.32 |48.50 |0.48 
2000 to 2007 |   2 | -140 | | -0.39 | 0.86 |0.89| 0.21 |14.15 |0.80 
2000 to 2007 |  -2 | -180 | | 0.05 | 1.28 |0.84| -3.90 |34.66 |0.55 
2000 to 2007 |  -2 | -140 | | -0.07 | 0.86 |0.88| -0.12 |11.89 |0.84 
2000 to 2007 |   0 | -155 | | -0.06 | 0.87 |0.89| 0.98 |13.22 |0.72 
2000 to 2007 |   0 | -110 | | -0.13 | 0.91 |0.89| -1.05 |25.14 |0.58 
2000 to 2007 |   0 | -140 | | -0.05 | 0.77 |0.91| 0.25 |11.11 |0.85 
2000 to 2007 |   2 | -110 | | -0.34 | 0.90 |0.89| 0.11 |46.74 |0.30 
2000 to 2007 |   5 | -155 | | 0.80 | 1.52 |0.78| 4.27 |34.24 |0.61 
2000 to 2007 |   8 | -155 | | 0.91 | 1.62 |0.83| 6.06 |42.95 |0.48 
2000 to 2007 |   2 | -180 | | 0.25 | 1.42 |0.82| 2.52 |33.91 |0.56 
2000 to 2007 |   8 | -110 | | 0.58 | 1.61 |0.77| 2.39 |37.94 |0.61 
2000 to 2007 |   8 |  -95 | | 0.47 | 1.56 |0.79| 0.95 |40.80 |0.54 
2000 to 2007 |   2 | -170 | | -0.01 | 1.19 |0.85| 0.94 |35.69 |0.60 
2000 to 2007 |   2 | -155 | | -0.19 | 0.90 |0.89| 1.39 |16.08 |0.79 
2000 to 2007 |   5 |  165 | | 0.72 | 1.54 |0.84| -0.76 |47.02 |0.47 
2000 to 2007 |   5 | -110 | | 0.43 | 1.36 |0.77| 2.82 |32.01 |0.71 
2000 to 2007 |   5 |  -95 | | 0.56 | 1.56 |0.76| 1.44 |47.23 |0.59 
2000 to 2007 |   8 | -170 | | 0.63 | 1.44 |0.87| -4.22 |35.62 |0.50 
2000 to 2007 |   5 | -170 | | 0.82 | 1.53 |0.82| -1.59 |40.51 |0.49 
2000 to 2007 |   5 | -140 | | 0.52 | 1.29 |0.80| 5.99 |28.61 |0.72 
2000 to 2007 |   8 | -180 | | 0.63 | 1.44 |0.86| 1.57 |35.59 |0.53 
2000 to 2007 |   8 |  165 | | 0.49 | 1.50 |0.85| 2.83 |34.84 |0.49 
2000 to 2007 |   9 | -140 | | 0.71 | 1.65 |0.83| 1.52 |37.34 |0.59
