2007 to 2014 |   2 |  -95 | | -0.30 | 0.86 |0.88|| -2.27 |22.98 |0.55 
2007 to 2014 |  -8 | -125 | | -0.31 | 0.63 |0.92|| -1.71 |9.53 |0.84 
2007 to 2014 |  -2 |  -95 | | -0.34 | 0.78 |0.89|| -3.73 |24.53 |0.51 
2007 to 2014 |   0 |  -95 | | -0.58 | 0.72 |0.94|| -2.33 |16.42 |0.79 
2007 to 2014 |  -5 | -110 | | -0.36 | 0.78 |0.83|| -4.14 |6.56 |0.82 
2007 to 2014 |  -5 | -170 | | -0.29 | 0.69 |0.91|| 5.50 |6.94 |0.93 
2007 to 2014 |  -5 |  -95 | | -0.27 | 0.82 |0.88|| 0.26 |16.06 |0.53 
2007 to 2014 |  -8 |  165 | | -0.03 | 1.15 |0.88|| -2.08 |37.75 |0.64 
2007 to 2014 |  -8 | -155 | | -0.22 | 0.83 |0.91|| -2.07 |16.39 |0.69 
2007 to 2014 |  -5 | -140 | | -0.46 | 0.69 |0.92|| 0.06 |12.78 |0.74 
2007 to 2014 |  -5 | -125 | | -0.44 | 0.62 |0.93|| -4.14 |12.77 |0.74 
2007 to 2014 |  -2 | -110 | | -0.23 | 0.80 |0.91|| -4.08 |11.56 |0.88 
2007 to 2014 |  -2 | -170 | | -0.36 | 0.81 |0.92|| -6.37 |19.58 |0.55 
2007 to 2014 |  -8 | -170 | | -0.13 | 0.94 |0.92|| 1.42 |21.36 |0.74 
2007 to 2014 |  -5 |  165 | | -0.25 | 1.02 |0.90|| -3.16 |38.83 |0.63 
2007 to 2014 |  -5 | -155 | | -0.48 | 0.71 |0.93|| -4.36 |13.04 |0.82 
2007 to 2014 |  -8 |  -95 | | -0.14 | 0.80 |0.89|| -2.81 |11.17 |0.71 
2007 to 2014 |  -8 | -110 | | -0.15 | 0.72 |0.89|| -2.50 |7.32 |0.83 
2007 to 2014 |   2 | -125 | | -0.73 | 0.79 |0.93|| -4.76 |9.36 |0.90 
2007 to 2014 |   0 | -110 | | -1.08 | 0.60 |0.93|| -0.84 |10.03 |0.78 
2007 to 2014 |   5 | -125 | | -0.06 | 1.05 |0.86|| 1.77 |28.16 |0.79 
2007 to 2014 |  -2 | -155 | | -0.24 | 0.88 |0.89|| -5.15 |16.45 |0.72 
2007 to 2014 |   0 | -140 | | -0.32 | 0.79 |0.89|| -5.92 |10.11 |0.86 
2007 to 2014 |  -2 | -180 | | -0.44 | 0.74 |0.94|| -2.11 |19.36 |0.56 
2007 to 2014 |   0 |  165 | | -0.40 | 0.92 |0.92|| -4.72 |32.57 |0.66 
2007 to 2014 |   2 | -110 | | -0.88 | 0.90 |0.90|| 0.36 |14.26 |0.81 
2007 to 2014 |   2 |  165 | | -0.12 | 1.13 |0.88|| -2.25 |35.60 |0.66
