data Range | LAT | LON | mean wspd diff | std. wspd diff | corr. wspd | mean wspd diff(wave)| std. wspd diff(wave)| corr. wspd(wave)| mean wdir diff | std. wdir diff | corr. wdir | mean wdir diff(wave)| std. wdir diff(wave)| corr. wdir(wave)
2000 to 2007 |  -8 |  -95 |  0.16 | 0.80 |0.89 | 0.18 | 0.79 |0.89 | -3.00 |13.71 |0.65 | -3.00 |13.71 |0.65 
2000 to 2007 |  -8 | -125 |  0.16 | 0.68 |0.93 | 0.19 | 0.67 |0.93 | -1.15 |11.62 |0.81 | -1.15 |11.63 |0.81 
2000 to 2007 |  -8 | -170 |  0.43 | 1.58 |0.78 | 0.44 | 1.58 |0.78 | -5.08 |33.45 |0.56 | -5.09 |33.46 |0.56 
2000 to 2007 |  -5 |  -95 |  0.17 | 1.05 |0.82 | 0.20 | 1.04 |0.82 | -1.74 |28.35 |0.54 | -1.74 |28.34 |0.54 
2000 to 2007 |  -5 | -125 |  -0.23 | 0.64 |0.94 | -0.20 | 0.64 |0.94 | -0.15 |8.85 |0.86 | -0.14 |8.84 |0.86 
2000 to 2007 |  -5 | -140 |  -0.17 | 0.83 |0.89 | -0.16 | 0.82 |0.89 | -2.18 |14.14 |0.60 | -2.18 |14.14 |0.60 
2000 to 2007 |  -5 | -170 |  0.14 | 1.10 |0.87 | 0.16 | 1.10 |0.87 | -2.14 |25.20 |0.74 | -2.15 |25.21 |0.74 
2000 to 2007 |  -2 |  -95 |  0.23 | 1.05 |0.82 | 0.26 | 1.05 |0.82 | -3.72 |31.09 |0.38 | -3.24 |32.50 |0.37 
2000 to 2007 |  -2 | -125 |  0.09 | 0.73 |0.81 | 0.11 | 0.73 |0.81 | 1.96 |5.51 |0.97 | 1.95 |5.50 |0.97 
2000 to 2007 |  -2 | -140 |  -0.06 | 0.92 |0.85 | -0.04 | 0.92 |0.86 | -0.24 |11.07 |0.85 | -0.24 |11.07 |0.85 
2000 to 2007 |  -2 | -170 |  -0.16 | 0.72 |0.95 | -0.13 | 0.72 |0.95 | -3.03 |14.44 |0.87 | -3.02 |14.42 |0.87 
2000 to 2007 |  -2 | -180 |  0.17 | 1.43 |0.81 | 0.19 | 1.43 |0.81 | -4.56 |32.64 |0.52 | -5.04 |32.56 |0.52 
2000 to 2007 |   0 |  -95 |  -0.18 | 0.83 |0.91 | -0.15 | 0.83 |0.91 | 0.94 |28.06 |0.55 | 1.13 |28.44 |0.55 
2000 to 2007 |   0 | -125 |  -0.08 | 1.06 |0.82 | -0.05 | 1.05 |0.82 | -5.56 |10.73 |0.90 | -5.56 |10.74 |0.90 
2000 to 2007 |   0 | -140 |  -0.03 | 0.78 |0.90 | -0.02 | 0.78 |0.91 | 0.37 |10.37 |0.87 | 0.37 |10.38 |0.87 
2000 to 2007 |   0 | -170 |  -0.52 | 0.64 |0.96 | -0.49 | 0.63 |0.96 | -8.27 |14.29 |0.82 | -8.27 |14.30 |0.81 
2000 to 2007 |   0 | -180 |  0.12 | 1.33 |0.84 | 0.13 | 1.33 |0.85 | 1.57 |34.84 |0.44 | 0.52 |35.22 |0.43 
2000 to 2007 |   2 |  -95 |  0.04 | 1.19 |0.83 | 0.07 | 1.19 |0.83 | -2.57 |40.25 |0.44 | -2.57 |39.84 |0.39 
2000 to 2007 |   2 | -125 |  -0.40 | 0.60 |0.93 | -0.37 | 0.60 |0.93 | -10.88 |20.85 |0.51 | -10.89 |20.86 |0.51 
2000 to 2007 |   2 | -140 |  -0.38 | 0.86 |0.90 | -0.36 | 0.86 |0.90 | 1.07 |13.99 |0.75 | 1.07 |14.00 |0.75 
2000 to 2007 |   2 | -170 |  -0.31 | 0.98 |0.92 | -0.29 | 0.97 |0.92 | -9.83 |47.48 |0.63 | -9.80 |47.49 |0.63 
2000 to 2007 |   2 | -180 |  0.40 | 1.78 |0.74 | 0.42 | 1.77 |0.74 | 3.22 |33.00 |0.53 | 3.22 |33.01 |0.53 
2000 to 2007 |   5 |  -95 |  0.64 | 1.68 |0.71 | 0.67 | 1.68 |0.71 | -0.25 |46.18 |0.57 | -0.24 |46.18 |0.57 
2000 to 2007 |   5 | -125 |  0.48 | 1.46 |0.75 | 0.50 | 1.46 |0.75 | -2.04 |23.12 |0.89 | -2.04 |23.12 |0.89 
2000 to 2007 |   5 | -140 |  0.70 | 1.41 |0.78 | 0.71 | 1.41 |0.78 | 8.02 |29.64 |0.71 | 7.79 |29.90 |0.69 
2000 to 2007 |   5 | -170 |  0.73 | 2.35 |0.68 | 0.75 | 2.35 |0.68 | -8.18 |37.32 |0.39 | -8.18 |37.37 |0.39 
2000 to 2007 |   8 |  -95 |  0.41 | 1.42 |0.84 | 0.44 | 1.41 |0.84 | 0.46 |40.16 |0.60 | 0.46 |40.16 |0.60 
2000 to 2007 |   8 | -170 |  0.19 | 1.10 |0.93 | 0.20 | 1.10 |0.93 | -1.84 |34.14 |0.70 | -1.85 |34.14 |0.70 
2000 to 2007 |   8 | -180 |  0.79 | 1.53 |0.84 | 0.81 | 1.53 |0.84 | 0.39 |35.72 |0.48 | -0.19 |36.34 |0.48 
2000 to 2007 |   9 | -140 |  0.76 | 1.68 |0.81 | 0.77 | 1.68 |0.81 | 1.03 |37.71 |0.56 | 1.15 |37.29 |0.55
