LAT | LON | num. matchup | num. matchup with wave | percent of data with wave
 -8 |  -95 | 4138 | 621 |  15.01 
 -8 | -125 | 3025 | 56 |   1.85 
 -8 | -170 | 3947 | 66 |   1.67 
 -5 |  -95 | 3027 | 446 |  14.73 
 -5 | -125 | 4467 | 50 |   1.12 
 -5 | -140 | 4803 | 711 |  14.80 
 -5 | -170 | 4114 | 51 |   1.24 
 -2 |  -95 | 1262 | 188 |  14.90 
 -2 | -125 | 4323 | 33 |   0.76 
 -2 | -140 | 4489 | 668 |  14.88 
 -2 | -170 | 3681 | 52 |   1.41 
 -2 | -180 | 4876 | 741 |  15.20 
  0 |  -95 | 3303 | 495 |  14.99 
  0 | -125 | 3055 | 32 |   1.05 
  0 | -140 | 5367 | 795 |  14.81 
  0 | -170 | 4602 | 36 |   0.78 
  0 | -180 | 2880 | 428 |  14.86 
  2 |  -95 | 2583 | 387 |  14.98 
  2 | -125 | 3376 | 24 |   0.71 
  2 | -140 | 5589 | 838 |  14.99 
  2 | -170 | 2317 | 25 |   1.08 
  2 | -180 | 4147 | 571 |  13.77 
  5 |  -95 | 3870 | 563 |  14.55 
  5 | -125 | 3666 | 39 |   1.06 
  5 | -140 | 5289 | 803 |  15.18 
  5 | -170 | 4312 | 36 |   0.83 
  8 |  -95 | 2966 | 445 |  15.00 
  8 | -170 | 4866 | 81 |   1.66 
  8 | -180 | 3174 | 461 |  14.52 
  9 | -140 | 5136 | 740 |  14.41
